_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,lastLogin,data.tangramURLs,data.role,data.clicked
wvyeXQMfTsXddKkgu,id131,"{""playerIdKey"":""id131""}",,2024-08-01T17:03:18Z,,,,2024-08-01T17:12:45Z,finished,,,,2024-08-01T16:03:41Z,"{""at"":""2024-08-01T16:03:41.563Z""}","/experiment/D1.jpg,/experiment/B1.jpg",speaker,false
rekRTimhWtbJGGM2Y,id132,"{""playerIdKey"":""id132""}",,2024-08-01T17:03:22Z,,,,2024-08-01T17:12:45Z,finished,,,,2024-08-01T16:04:42Z,"{""at"":""2024-08-01T17:12:41.876Z""}","/experiment/B1.jpg,/experiment/D1.jpg",listener,/experiment/D1.jpg
TsMyCYubNAAgEz7am,id134,"{""playerIdKey"":""id134""}",,2024-08-01T17:53:35Z,,,,2024-08-01T17:58:26Z,finished,,,,2024-08-01T17:23:06Z,"{""at"":""2024-08-01T17:23:06.405Z""}","/experiment/I1.jpg,/experiment/D1.jpg",listener,/experiment/I1.jpg
HuWo5rcEtvg4QqmJd,id133,"{""playerIdKey"":""id133""}",,2024-08-01T17:53:36Z,,,,2024-08-01T17:58:26Z,finished,,,,2024-08-01T17:23:45Z,"{""at"":""2024-08-01T17:23:45.668Z""}","/experiment/I1.jpg,/experiment/D1.jpg",speaker,false
hSkGjJJWZev73avWz,id136,"{""playerIdKey"":""id136""}",,2024-08-01T20:33:11Z,,,,2024-08-01T20:38:16Z,finished,,,,2024-08-01T20:09:46Z,"{""at"":""2024-08-01T20:09:46.529Z""}","/experiment/D1.jpg,/experiment/I1.jpg",listener,/experiment/I1.jpg
kFxJXdMeA2HaNuppu,id135,"{""playerIdKey"":""id135""}",,2024-08-01T20:33:08Z,,,,2024-08-01T20:38:16Z,finished,,,,2024-08-01T20:10:02Z,"{""at"":""2024-08-01T20:10:02.415Z""}","/experiment/D1.jpg,/experiment/I1.jpg",speaker,false
ZQdyhwezzj8QFM2pf,id138,"{""playerIdKey"":""id138""}",,2024-08-01T21:25:54Z,,,,2024-08-01T21:37:01Z,finished,,,,2024-08-01T21:11:28Z,"{""at"":""2024-08-01T21:37:55.700Z""}","/experiment/B1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
BqmtqePzJ6Bww2JMA,id137,"{""playerIdKey"":""id137""}",,2024-08-01T21:25:50Z,,,,2024-08-01T21:37:01Z,finished,,,,2024-08-01T21:11:38Z,"{""at"":""2024-08-01T21:38:12.818Z""}","/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
Lvki9NJikQ4RGPpd3,id139,"{""playerIdKey"":""id139""}",,2024-08-01T22:22:34Z,,,,2024-08-01T22:33:14Z,finished,,,,2024-08-01T21:49:38Z,"{""at"":""2024-08-01T21:49:38.911Z""}","/experiment/E1.jpg,/experiment/I1.jpg",listener,/experiment/E1.jpg
bpsfnzX3ofrwzZtQE,id140,"{""playerIdKey"":""id140""}",,2024-08-01T22:23:39Z,,,,2024-08-01T22:33:14Z,finished,,,,2024-08-01T21:49:38Z,"{""at"":""2024-08-01T21:49:38.928Z""}","/experiment/I1.jpg,/experiment/E1.jpg",speaker,false
