_id,name,value,factorTypeId,createdAt
oEDKTJQ28zhdQoLio,true,true,PbMKWFHGq7qHwK6NL,2023-06-28T21:23:48Z
jME2yssyFLXbASN8T,false,false,PbMKWFHGq7qHwK6NL,2023-06-28T21:23:48Z
H6mfXThg4jQ2annbb,minute,60,kJddTH8X4Y6Df7SPA,2023-06-28T21:23:48Z
PhWBYRyqGv7hpZbKm,prolificPilot,3B021164,oTmtc6KmQb77CaDTC,2023-06-28T21:23:48Z
6MrFJYnfziMgRMbZq,lots,200,kJddTH8X4Y6Df7SPA,2023-06-28T21:23:48Z
xWQjpcmpuWmZXGA7P,Triad,3,BqR4w5wtjgiSANbaJ,2023-06-28T21:23:48Z
xWQjpcmpuWmZXGA7Q,Pair,2,BqR4w5wtjgiSANbaJ,2023-06-28T21:23:48Z
xWQjpcmpuWmZXGA7R,Quad,4,BqR4w5wtjgiSANbaJ,2023-06-28T21:23:48Z
WPMyAs4AHQkRbejSw,One,1,uWvpQqxyNi8Dz6CSn,2023-06-28T21:23:48Z
bMLyzSZu2NMqPxMp3,Six,6,uWvpQqxyNi8Dz6CSn,2023-06-28T21:23:48Z
XxGKfzAdshtarMJ8v,five,5,tJ642Av4buu8Q5w73,2023-06-28T21:23:48Z
ivrbpviGCdXTDsEiZ,Four,4,ZkXeabrJhX4KfX8yj,2023-06-28T21:23:48Z
hsiunZ8b68hKxbnPM,Two,2,b5miCkhM6uwYKF2Sn,2023-06-28T21:23:48Z
8s4mWKpqFF83FP3X6,test,LCX2Y5GM,oTmtc6KmQb77CaDTC,2023-06-28T21:23:48Z
pWeADdnYht6s2XmXy,threemin,180,kJddTH8X4Y6Df7SPA,2023-06-28T21:23:48Z
n6akL2KMtAmNNT2MS,All,6,ZkXeabrJhX4KfX8yj,2023-06-28T21:23:48Z
wsDuqNzmgXecXtHLR,Pair,6,b5miCkhM6uwYKF2Sn,2023-06-28T21:23:48Z
STrYPy3iToz6XDo9d,May4,63E387C3,oTmtc6KmQb77CaDTC,2023-06-28T21:23:48Z
LMzjqBSyMLbrryc6X,Test,TEST,oTmtc6KmQb77CaDTC,2023-06-28T21:23:48Z
Pcrt2kDc8zeyzPkSF,Five,5,BqR4w5wtjgiSANbaJ,2023-06-28T21:23:48Z
gK2vDSr5Yc2vPhFxq,Six,6,BqR4w5wtjgiSANbaJ,2023-06-28T21:23:48Z
owZenExB498es2QBn,limited,limited,ckLfENK7MBJFvZcvw,2023-06-28T21:23:48Z
gjMzeXEASNnNzEGyz,full,full,ckLfENK7MBJFvZcvw,2023-06-28T21:23:48Z
6oMpybFsCSGAGstWB,limited,limited,SBokuiYg3qFErBaAH,2023-06-28T21:23:48Z
HTypbt58boQQ8o7GB,2,2,4qEZYDLs7mx2hs7zk,2023-06-28T21:23:48Z
RpZcQmAh9Ak4ebmwK,1,1,4qEZYDLs7mx2hs7zk,2023-06-28T21:23:58Z
2NCwaWAzkQjj6NqRC,4,4,uWvpQqxyNi8Dz6CSn,2023-06-28T21:24:03Z
hF8biEcLEjogfcPgJ,3,3,tJ642Av4buu8Q5w73,2023-06-28T21:24:29Z
QnANhYcYtN5DxTc8R,3,3,uWvpQqxyNi8Dz6CSn,2023-07-05T20:17:15Z
