trial,gameId,words,target,distractor
4,2SbQiwYJb6yCs65kq,a jumping person,jump,hold
4,5LuHx6piA3FAjEEvF,A boat,swim,jump
4,6FrMxuQqHPG6BQ4id,A diamond,hold,walk
4,8Pg9tqNTkvAHXD4YW,triangle feet,jump,swim
4,D6vdTyHjB9pWy9oTk,A person,hold,swim
4,DD5546uyAjpEZB7Df,A person,hold,swim
4,Doyf4BCTAGKcZo7rC,a airplane,swim,hold
4,EaHFpvRKrAeZqnBz6,person,hold,swim
4,F35AwXNeMjhzbWkKq,A person,hold,swim
4,GCpwyMdn9qNTNhyqf,A boat,swim,jump
4,GdxgdDaNrmnpHhnSc,A person,walk,jump
4,KPBNaTzQ8rxDECjgD,the person,walk,jump
4,MNMWiBjzQi8sZSRsW,has a triangle,jump,hold
4,Qx7HLhhMwYRCosRyX,"a human, the arms",walk,hold
4,R83tnLDcgGTD3F4SR,"island, a island, a guitar, guitar",jump,swim
4,RZu2haHpawM28eRuK,Person,walk,hold
4,S9c9v6fAqdxuedydx,A person,hold,jump
4,TDdHXhZK29W9z7d8H,"a human, The human is holding a square, a rectangular, and he's bending, and then he has one foot, and there's one square head, a kite",hold,swim
4,WcEaqZRmgk5YCnxPZ,"a person, a human",hold,jump
4,Wm4AvWkcFEBQdeXkF,some waves in the body,jump,walk
4,XHYAxKnSNRMEbigrq,person,walk,jump
4,ZdZx6K6ecNYj9KbGY,kite,jump,walk
4,eqxTepQjfWyhW5s7a,a boat,swim,jump
4,iRoAhttnXMgZ4Fw3x,the walking person,walk,hold
4,ku3ztvaAALvwJNEFk,A person jumping,jump,walk
4,mA6x3S2KxjWJRLBhv,a man who’s doing Diwali,hold,jump
4,n2qx434RYW8fxnEbP,the human that is walking,walk,swim
4,pxT5YubmAaAEgd9T9,"the boat, a camera",swim,hold
4,sfLKxjjG6efGYekzK,the jumping person,jump,swim
4,uT4ySBFpCWunpYMmn,a race car,swim,hold
4,uidAFavaAGAqJ8HYY,a person holding a flute,hold,jump
4,xCb7R5sWCQw6TeLGA,a person,hold,swim
4,xwPovSuJgpqMFZruP,A person,hold,jump
