_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.targetSet,data.context,data.feedback,data.chat,data.rotateInterval,data.speakerQueue,data.currentSpeaker,data.justStarted,data.activePlayerCount
7b2i88z9SEAviASrx,2024-01-26T18:05:46Z,7b2i88z9SEAviASrx,GXvtWgeBWwWH4Rbac,"3MYgKyuT53Mo8ZbBf,KJbdpxCqKT6BAYjsn,HKZAm7rXsqQGz2Rim,EZKeNLrNypnJtCE5Y,p7qYYoHPgduRktaWP,SGkwoZsShEZnjMQx3,PQ69rBrkLQzTZJehr,rFFXinLaSPhK3Zshm,kDL7cwAX3u7dChfQt,HtkkYeWjBaFD83w8H,QE8Eg5Bq55Cbi3KnA,hKtpSq4nyjtNYs9hL,bC8a8aFC7wW6CvvAo,6ffEnuQQWuGSKsaju,e5BD856pnYQJGiWgh,dHANuY29mKKiGzMhn,G4cDMy8hzDTZL6z9T,cQCmEw5mHWqf6TDNr,pRXoYhuxWsSQhzrbd,39Teqeu5fkWcmBB9p,Rv49va8JWPzTbfJLD","9FuHMMfKzxaxBoCTC,ri7dJqSWmjQbqqTB4",mMTrBbRaF6RAeZbRn,2024-01-26T18:03:37Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"ri7dJqSWmjQbqqTB4,9FuHMMfKzxaxBoCTC",9FuHMMfKzxaxBoCTC,false,2
cGpuAfzZsYmEgn2h7,2024-01-31T00:14:59Z,cGpuAfzZsYmEgn2h7,GXvtWgeBWwWH4Rbac,"6bKSGeZS5xJtBhz36,rp28kHJj3iyPHigdm,jSoH8g7ZZXT583nzd,CKAFeaFS7G9a5PgLz,NwNnqFhqNXojQrBje,hk853w63zLj8DikS5,Jt5eXfRnjndCFhLrN,HJrHhH9mthWRqDgZJ,oj9XyXztPBavviLmd,8jcBAqYKWBFefyeuz,6q3nh82RTnaWBKKDT,tTdWpBuuonh9dvhHf,Z46yLjwDdbeiZihKG,ifqv3QXn7pfpfsn8u,37xDyX3C6izJXqcah,9YoDtwsw3f7XnQeWJ,H9MdBGfFYB87tHH6S,882xc8cWhPXMhNhLN,dtTeWMMYF5uxdiLbB,auKkJMehDmiL4aW9e,jXu7iGh9gNgjaiGSz","4i27Fz5qafX7Bnk2g,PGzw2pLrWYYbjLFT4",zfN32gvAuzz2o66t2,2024-01-30T23:24:55Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"4i27Fz5qafX7Bnk2g,PGzw2pLrWYYbjLFT4",PGzw2pLrWYYbjLFT4,false,2
jbNPQDaixXJiohdHT,2024-02-01T21:59:25Z,jbNPQDaixXJiohdHT,GXvtWgeBWwWH4Rbac,"877TKcPQ2Xfhc4EhQ,YsfrSQZyGvuKBQ6uT,rJ7xEfkLR5v8bzFch,v26Dmb2w8nCifsSMb,HWzpTvwriQJvm5k9t,CLCBCb6usXbx6eFME,Z8JEiEYYqiJpiQkpv,iFN2e6CxEKBesxn4M,eFmctgsCBz329F2Kj,h6Fimt7ZDJReMX666,ARTdpxnWuBaf9T5Dh,5ny6M3JhTHc6749Fb,fowENd9nCnuw6mJeC,bB6Eqx3g7brop6iFo,79z9FFWKZX66zCwWv,Q3x7qbvghoyX6ptzd,37bc2BGrR4iN9xMn3,37xaBDvC3f3fABH2R,Ey7sK2MPtMJMpYHXK,7PRgqBCPr6At2s2Kc","bSXB8Kvy7TpMFsPkb,fx5Fzjt8zxmirFQRR",nZtbjuHifKrTHbjpR,2024-02-01T21:15:21Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"fx5Fzjt8zxmirFQRR,bSXB8Kvy7TpMFsPkb",bSXB8Kvy7TpMFsPkb,false,2
hDejgteDNZXYTt9CJ,2024-02-21T22:36:18Z,hDejgteDNZXYTt9CJ,GXvtWgeBWwWH4Rbac,"hbDD2Yi57wegwFMA3,Sst8SoF4aN9W8mbZn,c4AmfbwyfcqBAj3hz,HNGjSZtgBHn7xbEYS,zu8mwQKvZPomm3xMp,oD6zuLX49zaKvSjkH,3CzeJfSzcQHebwcKw,xajuBGfX8JFv7EH7u,oTZuXT8DmAXSQwNTA,5R7jC78p2XYra4j4K,aPjPWmMg5ymYbxpji,8zRyHK6YGWTBAvzz3,dGCQ5RiwkEuM2sPMK,RM8cw2fGnW9rgmQ39,iucA7B38s6xc7RdGe,5C6dEcXPMprmupXjM,AgyCsy9eAmb6HEfTq,mikH7RHT7gwrXaYTX,6CtGyhpKTCmNESBe2,WycPxHRsqrKE2kNi5","6qiSqLfNv2fMQbcRP,RfHTRDn545WrsDyJA",mvuBPmubWEtLZB9oj,2024-02-21T22:33:25Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"RfHTRDn545WrsDyJA,6qiSqLfNv2fMQbcRP",6qiSqLfNv2fMQbcRP,false,2
7rW5bxtBdLL8fkRMk,2024-02-22T01:10:54Z,7rW5bxtBdLL8fkRMk,GXvtWgeBWwWH4Rbac,"bFYmg48Ld3FfGFfBh,dM2ubCstBbyosemrs,FqX4iL5B3TfbCNFMK,GbxtAA6rXFnJHqKeW,sgv5hhoRdvwCv3Ksp,qGzSoqH8EgM8Tu6qh,4jirFFooikTF2BW87,PQAesDyCB4fP9Wrsb,HW2BYgn2e93TJRqWz,KcC97kzHPfozRuk9R,hYKH33EaXjJ8ek7YW,LcEwkDcfQcpPsZeWg,Au7XNT9mhm3FDoaFD,xonpRxcxLMt9otZnT,b5M5CBfcywcpcaGru,YEgqqyBF66NYEcRr4,7ErdnXjNY4g6y5Swn,EzQAygC2eQghiMffj,eC8MHMqkCJ9piFTgq,ceovR5YSCdwXgPZuw","DxqFxYuC3d9ZDPm7G,emmB74j6Y4qj9dL9G",Ndd2h6i9wmd87CSXn,2024-02-22T01:08:28Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"emmB74j6Y4qj9dL9G,DxqFxYuC3d9ZDPm7G",DxqFxYuC3d9ZDPm7G,false,2
wXoP9BNAwSL7CPTzv,2024-02-29T01:33:28Z,wXoP9BNAwSL7CPTzv,GXvtWgeBWwWH4Rbac,"aC43fLPXs5HrAQMGd,3knqS3tjmpRFzBJM6,MP9T8XJxB6PZQ7G5i,3vg6dStShjWy4QnzA,RkvukZYHtuaPKMS5e,Em8PoAAAmmEqykAMW,g5XA8GTGbL4mRjE64,Jgy7QzmNjJTNGyNbg,WsP2BrJztp9cgzZis,8A9i6nD8SDHrv565B,Xr5DH3nCmXZHxaxds,ZZpCbKEkFJjCKirPQ,Dg6enXiahcRdrRq9c,iFKxaFhauf3TmLq8Z,KsHrytf4ojwNbT7P3,JxJ2RqA8g762nfPFA,eTJw89zmGdcLcz94r,fgYugDhyfgHt6NwBv,wzPgD54YzpEEEQRbS,GicLdvac8qiCMp4ZM","LJLa9jLkZ9Ji4fxY4,c4x6PkknAhdX8KNte",dN4Yh9GG8zSGNmJfg,2024-02-29T01:27:52Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"LJLa9jLkZ9Ji4fxY4,c4x6PkknAhdX8KNte",c4x6PkknAhdX8KNte,false,2
ThwGZaPh92iRQFR3C,2024-02-29T01:44:19Z,ThwGZaPh92iRQFR3C,GXvtWgeBWwWH4Rbac,"GARmNxeG9Qrw6C7mr,oNTSoijFra6LTg4NT,cYjeNgX7qCK4PEs6X,Tgp4akqtX3t3mxKYt,SmH9eTJXciRrBN6bT,KXYdZ7vyqLmWJ5sYB,SBhqm6bmSKvsTxskm,Hkzncn5YBEYXSZSPa,XkJ93NCLGzpihrJjx,EjBN7ARNXyQmunpJF,tofMQnaANj7MKsJpy,k9wPqwQCfXXAKJR8G,s7fzfjQJAEsNE4jFY,NnGG6krMCCQbje6yt,tZLKwFkX3a7qReo7o,p3bsCw8zLSFk7jzjP,zvppb3ZwJoNT67Sns,ycJkESNrnrCmNvftZ,ZPbqw3p9LcF97LYdK,HGHbkwK8qezF6kTH5","D7zNExRsbmDuQE8BA,NkEfxFsufTY4zwL6Q",MNfasKAgp7E8avm2j,2024-02-29T01:39:43Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"D7zNExRsbmDuQE8BA,NkEfxFsufTY4zwL6Q",NkEfxFsufTY4zwL6Q,false,2
yNxLuQYs99rgcor8k,2024-03-08T21:43:31Z,yNxLuQYs99rgcor8k,GXvtWgeBWwWH4Rbac,"Ah8MFp4GSJkp98JGT,LeLvWWM9n3swZbXYX,gXxTiHuPWBBhLQCt9,c8uxZsHiPtSEw7kwa,rkziGcGkCqEe7QNWF,fu4QjxstcnY3gRyPo,qxMMnWNnX5tStFMRd,fvKeZP4Df5i72dtDm,ewAkL3ZWDvuPx2quh,vScvSxmzZdzaRTsrf,wEy8MbZARqYBeQpkM,ZMX8c9EEQ4vdpBgjk,D5app2bLNeW4wWcgx,Y8nn9FbLEiF27SfzS,RPKX6rTsfrnBuJG6w,2qpncpqg2SsSht2mt,6HEMRtK3PWtsEZKKo,7rhoRCmmkircBcs4E,EXhjB9JJWJ6EioeSj,rCRqmr5f3kQxwa6H4","PYxun88yozSroCR6v,ecwgPWwDLrYhMKyMF",usvjneF4QoSHHhJHu,2024-03-08T21:36:16Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"ecwgPWwDLrYhMKyMF,PYxun88yozSroCR6v",PYxun88yozSroCR6v,false,2
mA6x3S2KxjWJRLBhv,2024-03-08T22:29:15Z,mA6x3S2KxjWJRLBhv,GXvtWgeBWwWH4Rbac,"cSZ799qWYHuB9QD5Z,NFnRtH3KmHkXoyFZN,h9ELjCQ5JBSQA9thN,L59ZoWjAhXkejRqXS,xCnTKtnxy2geLyBDt,rxYTMMm4yqrfEwkH8,aER3asuDsygmJSBJv,H3jercnSxcjhjkRGZ,w6wcAYX54tnhuAyrM,Q52WqfCeiSaDz5mwr,q6xchoKrCYr3hpTQt,CBJH3uKA6S7pcuvKz,Qu9ssbXfrQi8k39dR,Qq8NyzuQJ3MQ9toLx,n6hDY35szRauYwZbq,3JSDeXyrLes5rwn6N,D3ZxBAirvC8qwC8sN,xYh56NxPwvjn7SJ7L,mqcnX28fo7RWPAaEH,tMvw34hE3Sx2trd5q","ToHiQRtwQreEmwwT4,jj8Ff4tfRP7PfsuyA",9JF3MyauhEGrc5Per,2024-03-08T22:16:12Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"ToHiQRtwQreEmwwT4,jj8Ff4tfRP7PfsuyA",jj8Ff4tfRP7PfsuyA,false,2
2SbQiwYJb6yCs65kq,2024-03-13T21:19:21Z,2SbQiwYJb6yCs65kq,GXvtWgeBWwWH4Rbac,"R8yfq9cSgcBP9yH2J,AG9T4JLZ2fP28dvzM,dfi7oK4vZHaFEPnnv,E6e4tdNgztyuY4DmW,yzpLGAt6QTErZSdGM,4DamHJgKLLuy54RhZ,SjH7phCQWF4EjkHcv,wQfiYYMY2JCi8vtu8,QPSyrikHhHsZPd75A,PxntjTnLTygsKe8Qj,ybpuyHq7bPQGKMk3d,HzBcMZ4si4NSbQCCD,3Ccjyeuho8JynvLdo,zi8mbN4iNAt45QiEZ,5rxsszpu626Rz2r8L,XNHH9Thg86N9zX6Pm,LmLGtyN9emh6TGqKX,a9fFBjgTSDPEzqkWR,enD8jH5sGuz5J6gEa,ysWaGZvRSbY5aopR3","X9xNaQFxKbC2e9fbv,uC2Hn364eCJkQANoc",JFMRSpBTuCSzQdNbC,2024-03-13T21:01:03Z,setA,"/experiment/B1.jpg,/experiment/D1.jpg,/experiment/E1.jpg,/experiment/I1.jpg",full,limited,1,"uC2Hn364eCJkQANoc,X9xNaQFxKbC2e9fbv",X9xNaQFxKbC2e9fbv,false,2
