expt,id,game,gender,age_month,ethnicity,hispanic
2,id73,game25,male,66,other,no
2,id86,game42,male,58,mixed,no
2,id85,game34,female,66,white,yes
2,id84,game34,female,65,asian,no
2,id121,game67,male,69,mixed,no
2,id110,game61,male,62,white,yes
2,id74,game28,male,61,mixed,no
2,id63,game18,female,60,asian,no
2,id75,game28,male,59,mixed,yes
2,id113,game62,female,68,asian,no
2,id129,game71,female,63,white,no
2,id133,game73,male,59,other,no
2,id149,game81,male,63,other,no
2,id91,game38,male,67,asian,no
2,id94,game44,female,62,other,no
2,id93,game41,female,59,black,no
2,id142,game77,male,69,asian,no
2,id112,game62,female,63,asian,no
2,id147,game80,female,61,mixed,no
2,id116,game64,male,56,asian,no
2,id66,game20,female,59,white,no
2,id70,game24,female,55,mixed,no
2,id76,game30,female,55,mixed,no
2,id80,game32,female,57,asian,no
2,id122,game67,male,58,white,no
2,id124,game68,female,58,white,no
2,id111,game61,male,57,mixed,yes
2,id90,game38,male,62,mixed,no
2,id130,game71,female,59,mixed,yes
2,id150,game81,male,59,other,no
2,id125,game69,female,59,NaN,NaN
2,id146,game79,male,56,asian,no
2,id127,game70,male,51,white,no
2,id77,game30,female,45,white,no
2,id131,game72,male,48,asian,no
2,id120,game66,male,49,mixed,no
2,id108,game60,female,48,mixed,no
2,id144,game78,male,52,mixed,no
2,id145,game79,male,52,other,yes
2,id109,game60,female,52,mixed,no
2,id123,game68,male,54,mixed,no
2,id97,game46,male,59,mixed,no
2,id134,game73,male,50,white,no
2,id98,game49,male,51,asian,no
2,id143,game78,male,52,white,no
2,id141,game77,female,52,asian,no
2,id135,game74,female,50,white,no
2,id71,game24,female,52,asian,no
2,id96,game46,female,62,white,no
2,id88,game43,male,51,mixed,no
2,id64,game18,female,50,other,no
2,id118,game66,male,52,white,no
2,id67,game20,female,52,mixed,no
2,id140,game76,female,50,mixed,no
2,id72,game25,male,61,asian,no
2,id148,game80,female,49,other,no
2,id99,game49,female,52,mixed,no
2,id136,game74,female,52,NaN,NaN
2,id95,game44,female,51,NaN,NaN
2,id81,game32,female,53,white,no
2,id89,game43,female,57,asian,no
2,id87,game42,male,48,NaN,NaN
2,id117,game64,male,49,asian,no
2,id139,game76,female,53,NaN,NaN
2,id92,game41,female,55,NaN,NaN
2,id132,game72,male,51,NaN,NaN
2,id126,game69,male,55,asian,no
2,id128,game70,male,57,NaN,NaN
2,id59,game16,NA,NA,NA,NA
2,id60,game16,NA,NA,NA,NA
2,id62,game17,NA,NA,NA,NA
2,id61,game17,NA,NA,NA,NA
2,id106,game59,NA,NA,NA,NA
2,id107,game59,NA,NA,NA,NA
