gameId,gameConfig,offset
5WPekHjNG898YuMXe,game41,1:36
hueqkSoqSjYjcD9En,game42,1:59
5FkviWsrtbSvrTB9G,game43,3:14
Ce897yATiBxGr92Xo,game44,3:53
A7RxNsfTJqTwfBejN,game45,1:39
5T8wESy34MKBRkBJr,game46,1:58
X3KGngsmofwhPuzW2,game47,2:04
bcszyeDMyWZqFeMBh,game48,2:27
kduAREQdY39j2SgoC,game49,2:29
9uKTejKqe3TNXkfAW,game50,3:15
SowubDEr7fQNBP6te,game51,1:47
D5CPASpy5Aj3aZNtS,game52,1:51
gpcp9tLA4Gep4QYpt,game53,1:44
baPLK5TnMYMSDvksA,game54,3:08
qL2AxZnRykJWLDA7H,game55,2:03
Yrc2wiX7ZxZFS2wX6,game56,1:29
XWpuLuSnNumcHxf7w,game57,2:06
xCqhPo6f65u6PJhy3,game58,1:43
ymmWkP9LexXqZPujp,game59,1:34
8PWtSpgpocS3Jvzph,game60,1:37
gF7PeenLLsSHsF4CG,game61,1:31
agWGBnw35ByLviSnF,game62,1:33
euCvEekqCAQC9sfav,game63,1:37
