game,target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker
game41,bird,dog,0,NA,NA,bird,true,19157,id14,id13
game41,banana,apple,1,NA,NA,banana,true,13134,id13,id14
game41,hold,walk,2,0,0,hold,true,75553,id14,id13
game41,walk,swim,3,1,0,walk,true,35588,id13,id14
game41,swim,hold,4,2,0,hold,false,24708,id14,id13
game41,jump,swim,5,3,0,jump,true,26219,id13,id14
game41,jump,swim,6,0,1,jump,true,7181,id14,id13
game41,swim,jump,7,1,1,swim,true,26756,id13,id14
game41,hold,swim,8,2,1,hold,true,58183,id14,id13
game41,walk,jump,9,3,1,walk,true,27746,id13,id14
game41,hold,swim,10,0,2,hold,true,17987,id14,id13
game41,walk,swim,11,1,2,walk,true,33055,id13,id14
game41,swim,jump,12,2,2,swim,true,23072,id14,id13
game41,jump,hold,13,3,2,jump,true,27689,id13,id14
game42,apple,banana,0,NA,NA,apple,true,20588,id16,id15
game42,bird,dog,1,NA,NA,bird,true,39188,id15,id16
game42,hold,swim,2,0,0,hold,true,35593,id16,id15
game42,swim,jump,3,1,0,jump,false,7043,id15,id16
game42,walk,hold,4,2,0,walk,true,21552,id16,id15
game42,jump,walk,5,3,0,jump,true,44635,id15,id16
game42,jump,walk,6,0,1,walk,false,26526,id16,id15
game42,hold,jump,7,1,1,hold,true,51274,id15,id16
game42,swim,walk,8,2,1,swim,true,13890,id16,id15
game42,walk,hold,9,3,1,walk,true,54921,id15,id16
game42,hold,walk,10,0,2,hold,true,19547,id16,id15
game42,walk,swim,11,1,2,walk,true,26585,id15,id16
game42,swim,jump,12,2,2,jump,false,52456,id16,id15
game42,jump,walk,13,3,2,jump,true,34791,id15,id16
game44,bird,banana,0,NA,NA,bird,true,25044,id20,id19
game44,dog,apple,1,NA,NA,dog,true,9859,id19,id20
game44,walk,hold,2,0,0,walk,true,23227,id20,id19
game44,hold,walk,3,1,0,hold,true,14862,id19,id20
game44,jump,swim,4,2,0,jump,true,10078,id20,id19
game44,swim,walk,5,3,0,swim,true,58162,id19,id20
game44,hold,jump,6,0,1,hold,true,7408,id20,id19
game44,jump,swim,7,1,1,jump,true,14254,id19,id20
game44,swim,hold,8,2,1,hold,false,4530,id20,id19
game44,walk,swim,9,3,1,walk,true,8519,id19,id20
game44,walk,jump,10,0,2,jump,false,29298,id20,id19
game44,swim,hold,11,1,2,swim,true,22377,id19,id20
game44,hold,swim,12,2,2,swim,false,6935,id20,id19
game44,jump,swim,13,3,2,jump,true,21894,id19,id20
game45,apple,dog,0,NA,NA,apple,true,14415,id21,id22
game45,bird,banana,1,NA,NA,bird,true,23289,id22,id21
game45,jump,walk,2,0,0,walk,false,33672,id21,id22
game45,hold,walk,3,1,0,walk,false,18437,id22,id21
game45,walk,swim,4,2,0,walk,true,10830,id21,id22
game45,swim,walk,5,3,0,swim,true,33333,id22,id21
game45,hold,jump,6,0,1,hold,true,19611,id21,id22
game45,walk,jump,7,1,1,walk,true,9315,id22,id21
game45,swim,jump,8,2,1,swim,true,13849,id21,id22
game45,jump,walk,9,3,1,walk,false,13293,id22,id21
game45,jump,walk,10,0,2,jump,true,35288,id21,id22
game45,swim,jump,11,1,2,swim,true,8341,id22,id21
game45,hold,walk,12,2,2,hold,true,7864,id21,id22
game45,walk,swim,13,3,2,walk,true,5093,id22,id21
game46,bird,apple,0,NA,NA,bird,true,28946,id23,id24
