expt,game,id,gender,age_month,ethnicity,hispanic
3,game8,id153,male,43,asian,no
3,game8,id154,female,37,white,no
3,game9,id155,male,57,Asian,no
3,game9,id156,female,37,Asian,no
3,game10,id157,female,54,Mixed,no
3,game10,id158,female,51,white,yes
3,game11,id159,female,62,NaN,NaN
3,game11,id160,female,57,NaN,NaN
3,game12,id161,male,52,Mixed,no
3,game12,id162,female,50,Mixed,no
3,game13,id163,female,54,asian,no
3,game13,id164,male,44,white,no
3,game18,id165,female,50,Asian,no
3,game18,id166,male,43,asian,no
3,game24,id167,female,49,Mixed,no
3,game24,id168,male,62,Asian,no
3,game25,id169,female,54,Mixed,no
3,game25,id170,female,51,Mixed,no
3,game26,id171,male,45,NaN,NaN
3,game26,id172,male,51,white,no
3,game27,id173,female,48,white,no
3,game27,id174,male,54,white,no
3,game28,id175,female,61,Asian,no
3,game28,id176,male,60,Asian,no
3,game33,id179,female,60,NaN,NaN
3,game33,id180,male,55,white,no
3,game34,id181,female,64,Mixed,no
3,game34,id182,female,53,white,no
3,game38,id183,male,52,Mixed,no
3,game38,id184,male,57,Asian,no
3,game40,id187,male,65,Asian,no
3,game40,id188,male,53,Mixed,no
3,game42,id191,male,56,asian,no
3,game42,id192,male,56,Asian,no
3,game43,id193,female,58,white,no
3,game43,id194,male,58,Mixed,no
3,game44,id195,female,63,Mixed,no
3,game44,id196,male,60,white,no
3,game45,id197,male,51,NaN,NaN
3,game45,id198,male,48,Mixed,yes
3,game48,id199,female,59,white,no
3,game48,id200,male,66,white,no
3,game49,id203,male,50,asian,no
3,game49,id204,female,62,Asian,yes
3,game51,id205,female,60,NaN,NaN
3,game51,id206,female,53,white,no
3,game52,id207,female,58,white,no
3,game52,id208,male,67,Mixed,no
3,game53,id209,female,57,NaN,NaN
3,game57,id215,female,55,NaN,NaN
3,game57,id216,female,48,white,no
3,game70,id227,female,51,asian,no
3,game70,id228,female,68,white,no
3,game72,id229,male,52,white,yes
3,game72,id230,female,59,Mixed,no
3,game73,id231,male,66,Asian,no
3,game73,id232,male,54,mixed,no
3,game74,id233,male,64,black,no
3,game74,id234,male,49,white,no
3,game76,id237,female,58,NaN,NaN
3,game76,id238,female,61,white,no
3,game77,id239,female,59,white,no
3,game77,id240,female,48,white,no
3,game79,id243,male,59,white,yes
3,game79,id244,female,62,white,no
3,game80,id245,female,56,white,no
3,game80,id246,male,70,Asian,no
3,game81,id247,male,68,mixed,no
3,game81,id248,male,59,NaN,NaN
3,game82,id249,male,53,Asian,no
3,game82,id250,male,56,white,no
3,game83,id251,female,61,Asian,yes
3,game83,id252,female,67,Asian,no
3,game39,id185,NA,NA,NA,NA
3,game39,id186,NA,NA,NA,NA
3,game53,id210,NA,NA,NA,NA
3,game56,id214,NA,NA,NA,NA
3,game56,id213,NA,NA,NA,NA
