gameId,target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker,game
frdh7smGPLbRZRBpK,apple,banana,0,NA,NA,apple,true,32504,id3,id4,game32
frdh7smGPLbRZRBpK,dog,bird,1,NA,NA,dog,true,13423,id4,id3,game32
frdh7smGPLbRZRBpK,hold,walk,2,0,0,hold,true,29682,id3,id4,game32
frdh7smGPLbRZRBpK,swim,jump,3,1,0,swim,true,13034,id4,id3,game32
frdh7smGPLbRZRBpK,walk,swim,4,2,0,walk,true,11561,id3,id4,game32
frdh7smGPLbRZRBpK,jump,hold,5,3,0,jump,true,11615,id4,id3,game32
frdh7smGPLbRZRBpK,swim,hold,6,0,1,swim,true,14636,id3,id4,game32
frdh7smGPLbRZRBpK,walk,hold,7,1,1,walk,true,11460,id4,id3,game32
frdh7smGPLbRZRBpK,jump,hold,8,2,1,jump,true,15370,id3,id4,game32
frdh7smGPLbRZRBpK,hold,walk,9,3,1,hold,true,14483,id4,id3,game32
frdh7smGPLbRZRBpK,jump,hold,10,0,2,jump,true,9410,id3,id4,game32
frdh7smGPLbRZRBpK,walk,hold,11,1,2,walk,true,7195,id4,id3,game32
frdh7smGPLbRZRBpK,hold,swim,12,2,2,hold,true,19747,id3,id4,game32
frdh7smGPLbRZRBpK,swim,hold,13,3,2,swim,true,5894,id4,id3,game32
e6T8wCGggaf2sCrp9,banana,dog,0,NA,NA,banana,true,28691,id5,id6,game33
e6T8wCGggaf2sCrp9,apple,bird,1,NA,NA,apple,true,13040,id6,id5,game33
e6T8wCGggaf2sCrp9,walk,swim,2,0,0,walk,true,20466,id5,id6,game33
e6T8wCGggaf2sCrp9,hold,walk,3,1,0,hold,true,75571,id6,id5,game33
e6T8wCGggaf2sCrp9,swim,jump,4,2,0,jump,false,136188,id5,id6,game33
e6T8wCGggaf2sCrp9,jump,swim,5,3,0,jump,true,34514,id6,id5,game33
e6T8wCGggaf2sCrp9,jump,swim,6,0,1,jump,true,46289,id5,id6,game33
e6T8wCGggaf2sCrp9,swim,walk,7,1,1,swim,true,95647,id6,id5,game33
e6T8wCGggaf2sCrp9,walk,jump,8,2,1,walk,true,41146,id5,id6,game33
e6T8wCGggaf2sCrp9,hold,swim,9,3,1,hold,true,39672,id6,id5,game33
e6T8wCGggaf2sCrp9,swim,hold,10,0,2,hold,false,58742,id5,id6,game33
e6T8wCGggaf2sCrp9,hold,jump,11,1,2,NA,false,NA,id6,id5,game33
vvixEFckM7QPWS4im,banana,dog,0,NA,NA,banana,true,21144,id7,id8,game34
vvixEFckM7QPWS4im,bird,apple,1,NA,NA,bird,true,17974,id8,id7,game34
vvixEFckM7QPWS4im,swim,hold,2,0,0,hold,false,30595,id7,id8,game34
vvixEFckM7QPWS4im,hold,swim,3,1,0,swim,false,24216,id8,id7,game34
vvixEFckM7QPWS4im,jump,swim,4,2,0,jump,true,63909,id7,id8,game34
vvixEFckM7QPWS4im,walk,swim,5,3,0,walk,true,48828,id8,id7,game34
vvixEFckM7QPWS4im,walk,swim,6,0,1,walk,true,12278,id7,id8,game34
vvixEFckM7QPWS4im,jump,hold,7,1,1,jump,true,18052,id8,id7,game34
vvixEFckM7QPWS4im,swim,jump,8,2,1,swim,true,18762,id7,id8,game34
vvixEFckM7QPWS4im,hold,jump,9,3,1,jump,false,9324,id8,id7,game34
vvixEFckM7QPWS4im,jump,hold,10,0,2,jump,true,30851,id7,id8,game34
vvixEFckM7QPWS4im,walk,swim,11,1,2,walk,true,6473,id8,id7,game34
