gameId, gameConfig, offset
frdh7smGPLbRZRBpK, game32, 2:44
e6T8wCGggaf2sCrp9, game33, 3:06
vvixEFckM7QPWS4im, game34, 2:46
J5o4w9N9MYsAkebwF, game35, 2:31
wSXZRwkNxz7fDGeyd, game36, 3:13
