gameId,target,distractor,trial,targetNum,repNum,response,correct,listener,speaker,game,exclude,exclusion_reason,words,all_words,type,expt,speaker_gender,speaker_age,listener_gender,listener_age,time.sec
A7RxNsfTJqTwfBejN,hold,walk,10,2,2,hold,1,id21,id22,game45,NA,NA,5,7,block 3,1,male,52,male,60,7.864
A7RxNsfTJqTwfBejN,walk,swim,11,3,2,walk,1,id22,id21,game45,NA,NA,3,5,block 3,1,male,60,male,52,5.093
5T8wESy34MKBRkBJr,swim,walk,0,0,0,swim,1,id23,id24,game46,NA,NA,2,2,block 1,1,male,70,male,53,12.25
5T8wESy34MKBRkBJr,jump,swim,1,1,0,swim,0,id24,id23,game46,NA,NA,2,2,block 1,1,male,53,male,70,12.533
5T8wESy34MKBRkBJr,hold,jump,2,2,0,jump,0,id23,id24,game46,NA,NA,1,1,block 1,1,male,70,male,53,75.06
5T8wESy34MKBRkBJr,walk,hold,3,3,0,walk,1,id24,id23,game46,NA,NA,3,3,block 1,1,male,53,male,70,13.574
5T8wESy34MKBRkBJr,jump,hold,4,0,1,jump,1,id23,id24,game46,NA,NA,1,1,block 2,1,male,70,male,53,65.274
5T8wESy34MKBRkBJr,hold,jump,5,1,1,hold,1,id24,id23,game46,NA,NA,6,6,block 2,1,male,53,male,70,15.359
5T8wESy34MKBRkBJr,swim,jump,6,2,1,swim,1,id23,id24,game46,NA,NA,5,5,block 2,1,male,70,male,53,11.429
5T8wESy34MKBRkBJr,walk,hold,7,3,1,hold,0,id24,id23,game46,NA,NA,4,4,block 2,1,male,53,male,70,18.037
5T8wESy34MKBRkBJr,walk,jump,8,0,2,jump,0,id23,id24,game46,NA,NA,2,2,block 3,1,male,70,male,53,47.023
5T8wESy34MKBRkBJr,swim,jump,9,1,2,swim,1,id24,id23,game46,NA,NA,2,2,block 3,1,male,53,male,70,9.645
5T8wESy34MKBRkBJr,hold,swim,10,2,2,swim,0,id23,id24,game46,NA,NA,4,6,block 3,1,male,70,male,53,25.945
5T8wESy34MKBRkBJr,jump,walk,11,3,2,jump,1,id24,id23,game46,NA,NA,3,4,block 3,1,male,53,male,70,19.241
